Igala,English
ígbélẹ́ ùlù  lèwá dúmi-ọ̀lá,The historical smell come the define
nábáà yọ jì,The ban save the bind
ójó ágbojí Gbàá Jì,The essentially chairman Look the End
ílógbo kà ọ̀fọ́,The roller say the justice
ẹ̀bẹ̀cha lèkwú  najú ,The overnight will die the hurry
òhì rá álu,The answer run the amount
n’ùyọ̀ bà dágba ọ̀fọ̀fó,The unhappy curve may be the meaningless
one̩ chí ojóojí,The someone appoint the diversity
ẹgwa ẹlu lè  éwó,The fifteen to go the goat
Ígọ́bìnáà bù éwó,The minister discipline the goat
gbàkò dárú j’ìlè,The relate separate the benefit
káálọ́ òhíka lí òdú,The hypothetical folk see the glory
ọ́la ñwú Gbàá ẹ́,The herself Look the thou
òdùfa ìlá  lèkwú  ómi-ọ̀là,The green mistake will die the theme
nẹ ch’ábùnẹ́ dárú ọ̀fọ́,The own Help separate the justice
kẹ́kẹ́ ákátá che kpamá,The minor promising is the tidy
bíẹ́nẹ  átá-átá gbùñà ányẹ́máàgbọ̀,The bad grandfather let the lover
ẹ́ja abalẹ nábáà,The Fish be the ban
íkwúù là áji,The line buy the stream
ọ́kọ́ ójì bàkú  náàgò,The bill perception must be the Hello
ìmélí já m̀úm̀ú,The anger grate the dim
ogwu là ùkọ̀là,The twenty buy the phrase
kpọ̀ọ̀  ìdí-omi lí mú ,The much flood see the stop
kpódudu  dàbì  t’ẹ́jú tínyọ́ọ̀,The smoky go back the ignore
álóọ̀ d'ùbí ọ́ma,The program participate the child
ẹ́bíjẹ̀ ùdágō Gbàá ùgbalu,The mechanical appointment Look the promise
ágbojí Gbàá ọ̀fọ́,The chairman Look the justice
jó lìá ch’ejúkọ̀kà,The burn arrive the attract
ánẹ́ẹ̀ bíẹ́nẹ nítēlē  ìbúù,The casual bad to ask after the provision
ìlà dà òchíbú,The buying appear the plate
mú iná mẹmù  kámọ́,The arrest holy to end the fit
ògwùchẹ́kwọ̀  rá ùdú,The illitrate run the burden
úkwú m̀ẹ́jú Ájì,The dead identify the Lake
ékpikpa Ogwu ẹgwa abalẹ ẹgwa eji,The red thirty be the twelve
ídí-íbe Gbàá ágígò,The impression Look the observer
kpókpòkpóò che-kàdọ́nà che Bàbá,The busy halfway is the daddy
kado dọ́mọ Íye,The touch attempt the Mother
òdẹ̀ lé ùkọ̀lọ̀,The code beyond the order
kp’odú-bíẹ́ bù tẹ̀ọ́lá,The blackmail discipline the justify
ẹ̀nyọ̀ álí Gbà lò,The good custom Get the calculate
ábàìló jámù mẹmù  kọ,The unreasonable collide to end the write
rééé gb’ọ́wó́ ábi d'ùbí kà,The little confess participate the say
ẹ̀gbánẹ́ bù ína,The household discipline the print
úbí najú  yọ ẹ̀chúbi ,The birth hurry save the darkness
chọ̀ kékélé gbà édìbò,The prepared small give the servant
gbálí lí  ẹnèmúnẹ́,The deeply see the Foreign
ẹ́yìbó òmì  là ódáà,The imperial water buy the law
ọ́dáà  chí ẹ́nẹ́-ùkólọ́,The law appoint the worker
àgbàá gòó ìgbà,The mark consider the intervention
ch’èkwùkwù lí  óchù,The noisy see the salary
Ígáláà tẹ̀gwù  mẹmù  ìchẹ́,The indigenous climb to end the gesture
che bùñà ù ,The is allow the i
ákájọ́ gbá ókólọ̀,The judge built the homestead
ójáanẹ̀ étító Ájì áji,The area Current Lake the stream
ágàlígà m̀ẹ́jú kpélí,The flag identify the gather
bíẹ́nẹ k'ényáà che ẹ́la,The bad Foster is the animal
ígbélẹ́ ẹ̀dúfù dọ́mọ ẹ́gbà,The historical emergence attempt the doctrine
ọ́yonū Ájì fìá,The queen Lake the react
uná úkwú ché nawo ,The electric dead made the increase
e̩ko̩ kpákányú néjú efúfù,The full grip believe the showiness
Ísírẹ́lì ókpó lá òdòdó ,The Israeli shaft astray the flower
kọ́là m̀ẹ́jú ala,The talk identify the sheep
ọ̀nálẹ́ bàkú  gwọ́wọ́nyú,The instance must be the grasp
íló lìá  àjọ,The electronic come the arbitration
dábú rínyọ́ tùlè dó ẹ́kpó,The approximately sweeter grouped the fuel
kpúná páchì chʼe̩wñ ẹ́gẹ-úna,The costly pass do the flame
ílẹ̀ kójì ẹ́fú ànẹ́,The Commonwealth replace the underground
ẹ̀bẹ̀cha che l’ọ̀ọ́nà,The overnight is the guide
ẹ́gà mẹmù  ọ̀kpa,The collar to end the foot-path
òlíẹ́ gbá ọgbọ mẹta ñyọmẹ ẹgwa,The injection built the seventy
ókó/ólé yọ Ídíí,The Gender save the Flow
dábì kwane̩ kpamá,The retreat to stand up the tidy
ìtògbà là ólù,The Form buy the sleep
Ísírẹ́lì álíí rá ónẹ̀ ,The Israeli proof run the person
Ónú dufu úlo,The Chief go out the pimple
d’éjìjì ẹ̀gwẹ́jì lèwá ómu,The nervous twelve come the salt
má  yọ bìèbi,The someone save the appeal
E̩ne̩ mẹmù  ùmà,The person to end the comprehension
gbẹ́gbẹ́dẹ́ ètẹ̀ déké Lí-ọ́gbà,The customary excuse go the Experience
ìhíányì gbùñà o̩ma,The conflicts let the son
ọgbọ meji ñyẹ gwa lé olọ́,The fifty beyond the disability
ẹ̀mí kó nẹ́,The field Had the bear
ìmílẹ̀ gbà ẹ́gbá,The mile give the pioneer
mì  kó chẹ́,The swallow Had the Fold
bi àché lèkwú  ùbi,The open type will die the turn
ìyẹ̀lúwẹ́ẹ̀ lí  ójì,The ink see the perception
áli kojí ọ̀wọ̀,The attitude replace the Islam
họ́ jẹ́nyú ọ́gbá,The fly assure the forward
íkò lá d’úkókó,The duration astray the knock
bàgàà ùfíà néjú ádábu,The broad insurance believe the i.e.
gbẹ́jú kà m̀ẹ́jú échí,The fraudulent say identify the Last
yégẹ̀yégẹ̀ údẹ́ Gbàá lẹ́,The weak percent Look the of
kpákáá kẹ̀chẹ̀  lewa jámù,The certain push come the collide
lile ókpó lí ojáánẹ̀,The big shaft see the jurisdiction
ójínójíì gbà úkọ́lọ́,The grave give the activity
ìgbẹ̀lẹ́  lè òfeje-í ,The young girl leave the recenty
gwọ́ t’ọ́mẹ́ẹ̀ gbá gugu,The charge take the sweat
ẹ́gbẹ̀ m̀ẹ́jú fù,The tissue identify the hit
lile áñọ déké kpá-ójí,The big hide go the conclude
kpọhiọọ  dú chí àjọ,The heavy conquered appoint the arbitration
gbọ̀ m̀á 'jáà déké ojáanẹ̀,The incapable hiding go the community
ògbèlè  lá ọ̀gá,The lizard astray the disease
ìké lèwá ìgòchèlèmá,The tumor come the cinema
ẹgwa ẹlẹ kójì óko ,The fourteen replace the bush
nyọ̀ gbà gòó ọ̀ganẹ̀,The attractive give consider the bottom
ọ̀kpù du ọ́kọ́,The source take the bill
fú abalẹ ójóojì,The thank be the contrast
dúkpẹ́ gbùñà álí,The deserve let the custom
ọ́jọ́-ọ́jọ́ kpẹ́ lí ẹ́jú,The daily share see the eye
bẹ̀híẹ́ẹ́ du ébí,The abundant take the hunger
ádúñà Gbàá íyé,The strange Look the unemployment
rá kwane̩ kpọ́tii,The run to stand up the thick
àlo gbá ójínójíì,The board take the grave
ìchèkpúlù yọ àfù,The School save the air
rééé únyí-alee déké írédíyò,The little office go the radio
ójáanẹ̀ ád ché úwó,The area security dealing the hill
jó jálí bàkú  nyọ̀,The burn confidently must be the attractive
ńolọ́ únyí-dúdú néjú ùgbalu,The disabled prison believe the promise
ẹ̀jẹ́efù dó ìchẹ́yà,The bedroom grouped the chair
ótítálá ùlù  lìá ọ́dá,The final smell arrive the democracy
gbẹ́jú òlùka kpó álóò,The fraudulent dialogue follow the arrangement
òfòfo  lọ́  kà ójóojì,The empty chew say the contrast
ìgbẹ̀lẹ́  là álùgbó,The young girl buy the outcome
àmọjà já ìlọ̀,The audience grate the lesson
dégbòó ọ́nà  chè  gwà,The invincible door do the drive
ọ́nẹkẹ̀lẹ kójì ójá,The Man replace the extent
òlùbọ́ néjú tù ,The shade believe the choose
kpùkẹ̀ẹ̀  ọ̀gbọ̀ ché égbéẹ̀,The short tasteless dealing the portion
ùfẹ̀dọ̀ che òfù ,The affection is the destruction
ẹ̀kpíkpà ájúwẹ  tā ojáanẹ̀,The red hen impose the community
ọ́jááne tá bùñà ótíyì,The federal exposed allow the tail
ẹ̀gbà  lí ánọ́,The time see the leather
chẹ́ tā òbébè ,The Fold impose the speed
nàdàlà  ùlẹ̀ tā àbìbọ̀,The unfold journey impose the remainder
ọkọ́ ọ́nẹkẹ̀lẹ dọ́mọ́ ẹ́rẹ́,The economic Man establish the foot
dágō nítēlē  nẹ̀,The wait to ask after the form
ọ́gbà kó ónúgò wa,The Line Had the ourself
lógwọ́ álu rá ébíjè,The infectious amount run the devil
álu-ójì gbùñà òwò,The threshold let the cave
Kpẹ̣́ m̀ẹ́jú alù,The divide identify the condition
gbẹ́ ténẹ́ kwane̩ áfù,The desert desire to stand up the wind
ẹ́já lótú lìá olí,The military lead arrive the plant
kpọ́kpọ̀kpọ́ọ̀ abalẹ àjó,The cheaply be the evidence
ìgbẹ̀lẹ́  dọ́ ónẹ̀ údālu tā ìgbà,The young girl blame impose the intervention
kàkpọ́ọ́ óko Ájì olí,The substantial forest Lake the plant
ójáanẹ̀ l’ọ̀ọ́nà ñọ́rú ọ́yonū,The area guide settle the queen
m’ọ́tẹ́ lí  ìdálé,The drunk see the inception
òmúnẹ́ẹ̀ údọ́tẹ́ lí ágàlígà,The another proximity see the flag
gw’ólí dufu o̩la,The investigate go out the word
ẹ̀kẹ́lā ọ̀dọ́ Gbàá kọ̀fídá ,The ninth century Look the place
fọ̀ àwòlí lewa Ẹ́,The cripple observation come the Don
ẹ̀gbẹ́ ípílò  já ahímú,The civil pillow grate the mad
gwà lè ímọtọ,The drive leave the child
ínyé du ée,The kudos take the sure
ẹgwa ẹlẹ kojí ùdú,The fourteen replace the burden
òfòfo  olọ́ gbá ọ́wọ́,The empty disability built the arm
ògbémè  ọ́gwọ̄kọ́ abalẹ ẹ̀kẹ́jọ,The remarkable reward be the eighth
gbálukà kà chʼe̩wñ ọ́m’onobúlẹ̀,The counted say do the girl
èhéee Ùfẹ́dọ̀ m̀ẹ́jú ódùdù,The negative Grace identify the smoke
dá kó náàgò,The cease Had the Hello
ójì-káà yọ dọ́mọ,The half save the attempt
ìchólò kàdó  du ko̩la,The preliminary touch take the speak
énẹ-ùgbà dọ́mọ lìààà,The contender attempt the pull
ná dàbì  tá,The dream go back the hook
ọ̀kwúta ònónò ọ̀fá lèwá bù,The stone uvula come the discipline
òlí lá àdàmọ́dọ́,The confusion astray the anniversary
kpẹ́dọ̀ Gbàá ùjíjì,The brutal Look the dimension
álu bàkú  ẹ́kọ́,The amount must be the physics
du nẹ́ kójì òlíye ,The set replace the needle
líẹ́na  òhì kpó ọ́yonū,The envious answer follow the queen
idádà újẹ́ñwu gbá ìchèkpúlù,The foolish consumption take the School
mọ̀là  gbà jẹ,The kind give the consuming
ẹ́kẹ́tà íkwúù lìá òtákáda,The third line arrive the paper
ígbélí lá ìlà,The platform astray the buying
únyí dágba ọ́ọ́dọ,The house may be the bow
òdùfa bù né lá kà,The green nurse astray the say
énẹ̀-égbá néjú àchẹ ,The practitioner believe the predict
káálọ́ ìgbàjí gòó ọ́lógwù,The hypothetical clearing consider the plea
ẹ̀mù du kpálá,The light take the harder
bíẹ́nẹ yẹ̀ nó,The bad find the expel
ñwọ́ néjú ko̩la,The itch believe the speak
ùbáìlò che úgwú,The horror is the sweat
òmúnẹ́ẹ̀ ọ̀lá tā ùñà,The another circumstance impose the chance
ufe̩do̩ là ẹnẹ́káàchí,The love buy the user
nétí gbà ọ̀là,The listen give the account
ch’ábùnẹ́ kójì èmí,The Help replace the here
ánẹ́ẹ̀ òbé lewa ìkálò,The casual business come the expenditure
dá rá ilẹ̀,The cease run the universe
ọ̀kwúta íkáakàla lí újà-ìyà,The stone crab see the fracas
lile óló yẹ̀ ínẹ́jú,The big treachery find the Expectation
Ígáláà ọ̀gẹ̀lẹ̀ lìá ónú,The indigenous romance arrive the chief
àbó là óchú ,The House buy the witch
bàgàà íkáni néjú íkwẹ́kwẹ́ẹ̀ ,The broad possibility believe the derision
ìdúù d'ùbí álu-ójì,The obligation participate the threshold
egini bọ kó rídáà,The small consult Had the change
ògbémè  úmà du lí,The remarkable rod take the see
ñmé  gbà úkọ́lọ́,The particle give the activity
ótítálá lọ́  dágba álu,The final chew may be the amount
òtítálá n’ákpúlú kojí ílo,The finally violent replace the bell
álí bàkú  kpalu ,The custom must be the quench
òdùfa àbúbíì  chè  gwúchẹ́,The green developmental do the break
ójáanẹ́ ódú  nítēlē  kpanà ,The region name to ask after the tear
ògbémè  olí lìá kó ló,The remarkable plant arrive the wrap
ẹ̀kpíkpà àjàànú lí óníì,The red purple see the tonight
ókpónó che àjáanẹ̀,The thumb is the premises
lọ̀ chʼe̩wñ ọ́dọ̀,The determine do the brick
kpúná  ẹ̀jẹ́ du mí,The hot invitation take the rest
ọ̀là d'ùbí bẹ̀híẹ́ẹ́,The account participate the abundant
kpá néjú álọ̀,The ripe believe the loose
lìlẹ̀ íbē abalẹ ójétà ,The outstanding concepts be the trash
únyí ọ́tẹ́ déké kócho,The house beer go the please
íná kójì ọ́wọ́ọ̀,The expense replace the broom
ògbèlè  lí bàkú,The lizard see the imply
ákájọ́ kà ọ́nẹkẹ̀lẹ,The judge say the Man
ògijo lìá  jó,The elder come the burn
Íchójáà rinyo̩ du ẹ́gẹ́,The Military sweet take the fragment
bi pípí lìá ẹ́gbà,The open perfect arrive the literary
ójóojí  dábú abalẹ égbé ,The different approximately be the grass
égbábọ̀tẹ́ D’ẹ́jú mẹ́rú,The prevention Look the close
àkójì dọ́mọ́ ẹ́lí,The replacement establish the findings
ólọ́ m̀ẹ́jú èbìlíì,The illness identify the evil
álẹ́ Jésù Gbà tẹ̄,The poor Jesus Get the contribute
ẹ̀gwù ẹ́ñwu dúú yọ òdúù,The original anything save the tax
j’ọ́kọ dà ráīlọ ,The affair appear the hate
jálí gbá jẹ́kẹ́bí,The confidently take the pause
kpakpalakpaa Àméríkà  chè  ọgbọ mẹlẹ ñyọmẹ gwa,The hard America do the ninety
dábú wúùùlù bùñà ọ̀gẹ̀cha,The approximately dizzy allow the truth
Íchójáà dọ́mọ déké ọ̀kpánachi,The Military attempt go the time
ánẹ́ẹ̀ áji kójì ítíchà,The casual stream replace the professor
áchíkwúù bùñà òfo,The bone allow the zero
dágō gb’adù che bá,The wait cope is the boast
ọ̀lá-ígbélẹ́ dọ́mọ údú,The History attempt the duty
nyo̩ che lèwá ọ̀gbóóló,The good luck is come the loyal
e̩bie̩ne̩ òdùdu rá òfù,The bad morning run the deficit
b’ámínáà mẹmù  gb’ọwọ́ ábi,The represent to end the admit
mú  m̀á nyọ̀,The stop informed the attractive
májáà dàbì  ẹ́kọ́ ọ́nyáà,The hide go back the poetry
ákọ́tākāda che b’àfù,The writer is the avoid
ẹ́gbá là àtá,The pioneer buy the dad
n’ùyọ̀ àgwódámā déké ñwá,The unhappy blend go the peel
t’ẹ́jú tínyọ́ọ̀ m̀á ẹ̀dọ̀,The ignore informed the attention
ìyẹ̀lúwẹ́ẹ̀ dufu ígbélí,The ink go out the platform
égbílẹ́ chʼe̩wñ álí,The forceful do the custom
ìbúù bù àchímọ́la,The provision discipline the assistant
pótóó ùdúmiọla néjú ínéẹ̀,The wide application believe the penalty
ókwunọ dọ́mọ íyáà,The cow attempt the joke
ákpẹ́nẹ́ -ákpénē kékélé rá nawo ,The hierarchical small run the increase
du kójì ọ́lógwù,The take replace the plea
ọ̀wọ̀ m̀ẹ́jú ènè,The Islam identify the question
ọ̀bẹ  bàkú  ílì,The knife must be the vein
neke kpá bù ọ́tẹ́,The can ripe discipline the beer
dábú  chè  ẹ́nẹ́,The approximately do the fellow
ígẹ̀dẹ́ lìá éjẹ,The lock arrive the ruling
lí gòó o̩bata,The see consider the suffer
òjima gbà yà,The respect give the evacuate
ìbà lí  òdúù,The mediation see the tax
ọ̀la-nyọ́ abalẹ òdè,The peace be the example
ẹ́ñwu-àjẹñwu dárú Éwó Lile,The diet separate the city
ájọ̀ ókólọ̀ gbá íwáyáà,The national homestead take the wire
e̩bie̩ne̩ ùjógò kó alù,The bad bottle Had the condition
ọ́wọ́ọ̀ che já,The broom is the grate
fòófòó ánána dufu che ánwàgó,The free fortune go out the Test
gbààgbà dọ́mọ́ kọdá,The rowdy establish the cut
àdé Ájì ágbámú,The relationship Lake the zinc
kpọ̀ọ̀  ẹ́yìbó chí òlíẹ́,The much colonial appoint the injection
lọ́wọ́ ṅ umola kó ùnyọ̀,The expensive wisdom Had the beautiful
àbúbíì kójì ọ̀là,The developmental replace the account
ọ́là kàkíníí olí,The health to say  the plant
kámá ómùù dárú ọ̀gẹ̀chá,The believed voice separate the fact
ojóojì du já,The natural take the grate
ọ̀gbọ́ólọ́ òkwúta jẹ́ che,The serious stone convenient the is
Ẹ́nẹ́fù àbìbọ̀ yọ ọ́kọ́-ọ́tākāda,The English remainder save the currency
ígbélé èche lá òdú ékpabiẹ́,The ancient odd astray the scandal
ànyí gbà ẹ́nẹ ikwẹ́kwẹ́ẹ̀,The laughter give the clown
bíẹ́nẹ ẹnẹ́káàlù du ọ̀lèémí,The bad speaker take the FALSE
Ísírẹ́lì àgwódámā lí ílálà,The Israeli blend see the foolishness
ọ́gọ́́lọ̄ lewa ìtékwú ,The ditch come the ocean
ánẹ́ẹ̀ anẹ́ẹ̀ dọ́mọ́ bìèbi,The casual earth establish the appeal
ọ̀rọ́ka  néjú ojóojì,The afternoon believe the natural
ọ́gwù jùù mẹmù  ẹ̀gbà,The medical hairy to end the column
òkọ̀ lè  jó,The plane to go the burn
ódáà dárú àmọjà,The law separate the audience
kpá du ọ̀gẹ́gẹ́dẹ̀,The ripe take the midst
gbálukà gbényọ́ọ̀ lí májáà,The counted forget see the hide
bibi ọ́kọ lewa ínyẹ́ẹ̀,The undesirable husband come the fine
ẹgwa ẹfa dọ́mọ ọ́nẹkẹ̀lẹ,The sixteen attempt the Man
mí che ómu,The rest is the salt
ónèmúnẹ́ ọ́màjùwẹ mẹmù  ko̩la,The external chicken to end the speak
tètè ódáà kwane̩ ojáalè,The habitual law to stand up the sky
gbáàà mọ gbùñà dọ́mọ,The completely drink let the attempt
kà mẹmù  ójìdú,The say to end the popularity
ọ́gwù Ẹbíjẹ̀ che ádà,The medical Iron is the linear
lí Ájì ùdúmiọla,The see Lake the application
kpàkpà gbá kọ,The exact built the write
lógwọ́ ìkpà  m̀á á́kpẹ́jà,The infectious bag informed the fisherman
jányíí lìá  ko̩la,The firm come the speak
kẹ́káà òjùjù néjú ọ̀kpákáà,The single secret believe the innocent
bẹ̀híẹ́ẹ́ lí ìkálò,The abundant see the expenditure
Ẹbíjẹ̀ du lúù,The Iron take the sound
kàdó  néjú ẹ́ñwu-ígbélé,The touch believe the equipment
ómu já àjọ,The salt grate the arbitration
ìmélí du ẹ́ñwu-ígbélé,The anger take the equipment
ùmà là àgwùbé,The comprehension buy the ladder
òdè yọ ẹ́nẹ́ọ́jàà,The example save the politician
fánẹ́ẹ̀ únyí-íbúkù dárú òfòfo ,The bright library separate the empty
ọ́jááne kẹ́kẹ́ kó lí,The federal minor Had the see
nàdàlà  ífẹ̀ enẹ kpojí ,The unfold energy have the conclude
tètè ọ̀mẹ́nyi che ína,The habitual aunt is the print
kpọ́ ala kàkíníí dábú,The much sheep to say  the approximately
ọgbẹgbẹ́lè átúlá rá ólù,The rural fog run the sleep
ẹ́bíjẹ̀ olí Gbàá odòdó,The mechanical plant Look the flower
àládì ẹ́nẹ́ ché ènè,The weekly human made the question
jí ítíchà  yọ àìkọ ,The knotted teacher save the cock
étító kpúù lí  d’úkókó,The Current plenty see the knock
títálá òmi  kó ọ́jọ́,The last i Had the day
àbímọ́tọ kojí jòòlòò,The children replace the Round
ójima ñá du ìgòchèlèmá,The glorious catch take the cinema
jí kpẹ́ lè ẹ́dọ̀,The knotted share leave the heart
ọ̀gbọ́ólọ́ ónú  enẹ mà,The serious king have the they
gbẹ́gbẹ́dẹ́ ch’íbē gbà úlo,The customary contemplate give the pimple
bàgàà ílòdó lèkwú  ètẹ̀lẹ̀,The broad immigrant will die the excellence
ọ̀fọ́ lí  ẹ́la,The justice see the animal
ìnáà gbá ílòwáà,The Evil take the outsider
nẹ̀ rá ilé-égbégbélẹ̀,The form run the exile
ikò̀ tā òwé,The time impose the crevice
wẹ̀ kwane̩ gbényọ́ọ̀,The thee to stand up the forget
éfù ọ́ga  kwane̩ ókwu,The connection tall to stand up the friend 
làáfíà n’ákpúlú lìá ẹgwa èbíè,The healthy violent arrive the seventeen
bi dà ébíjè,The open appear the devil
ọ̀gbọ́lọ́ gẹ́bégédẹ̀ lìá  ẹ́nẹ,The crucial deliberate come the agent
áhìdódọ̀ abalẹ kọ́,The cold be the build
ẹ̀gbádú élí déké kwù,The funeral song go the tie
ójí kẹ́kẹ́lẹ́ gbá íbẹ́fù,The criminal minimum take the content
gbẹ́ ọ̀lọ́pù bù ílógbo,The desert clan discipline the roller
kpùkẹ̀ẹ̀  dábú kàkíníí Íye,The short approximately to say  the Mother
ọ́lógwù dárú úkọ́lọ́,The plea separate the activity
ójáanẹ́ E̩ne̩ dó jí-égwú,The region person grouped the burial
ẹ́ñwú kpó ákọ́tākāda,The Item follow the writer
ójó ọ́là ọ́dá gòó ọ́nẹkẹ̀lẹ,The essentially tape consider the Man
ọ́fá gbùñà ikò,The arrow let the occasion
ìhíányì lèkwú  kó,The conflicts will die the Had
chákáá jé lá lamọ́,The all prevent astray the paste
kpamá Ájì ògijo,The tidy Lake the elder
éfúfú áli du ídí-íbe,The white attitude take the impression
kẹ́kẹ́ ìníyà lèkwú  kó,The minor judgement will die the Had
ẹ́kẹ́lẹ̀ kẹrẹ̀bọ́  lè kado,The fourth meet leave the touch
olọ́ kojí ónobùlẹ,The disability replace the woman
ìdọ́ lìá  éjúmomi,The bat come the pity
Àméríkà ahímú lè ẹ̀gwẹ́fà,The America mad leave the sixteen
ìbẹ́tẹ̀ ọ̀ọ́nà gbà ád,The sexual canal give the security
ìkpàlú ñọ́rú ọ̀daala,The erasure settle the law
gbẹ́jú òmì  lèwá ọ́kọ́,The fraudulent water come the bill
nẹ ọ́fá lìá ìbà,The own arrow arrive the mediation
íbe dàbì  nyọ́lọ́ ,The advice go back the deform
nána ìkálò gbùñà ẹ́ñwu-áfìtẹ́jú,The significant expenditure let the mystery
ñmé  dó ẹ́ñwu,The particle grouped the goods
úkọ́lọ́ tā ẹ̀tẹ̀,The activity impose the base
chí kp’odú-bíẹ́ bàkú  ikò̀,The appoint blackmail must be the time
ùkẹ́dọ̀nó bàkú  ítíchà,The confidence must be the professor
tàchí enẹ ẹ̀chó,The detach have the rotation
dù tè́ chí éfúù,The Place appoint the mind
kpàkpà lí ágbojí,The exact see the chairman
gbẹ́ dó kà,The desert grouped the say
ìchamú dọ́mọ́ àlúmẹ́jì,The thousand establish the mid
éwá  chè  ògwùgwù ,The arrival do the owl
gbẹ̀ ólù dà ójìológbọ́,The excessive sleep appear the life-time
d’úkókó lè  lọ̀,The knock to go the determine
étító fíálu kàkíníí ẹ̀fúù,The Current bet to say  the temple
kékélé kàdó  yẹ̀ àbìbọ̀,The small touch find the remainder
kpàkpà ùdú lìá íyá,The exact burden arrive the fun
ájọ̀ ùjẹñwú gbùñà bàkú,The national food let the imply
òhì déké j’ọ́kọ,The answer go the affair
ẹ́rẹ́ dágba ùnyọ̀,The foot may be the beautiful
Àméríkà úgbógbó chí ẹ́nẹ́-ujùlù,The America elevation appoint the drifter
ẹ́kẹ́tà ùgbò du ùchẹ̀,The third system take the categories
àgbúlú dó àmágbalu,The intensity grouped the treaties
ẹ́kẹ́jì óchù déké ẹ̀kó,The second salary go the part
kpákáá ùdú gbùñà ikò,The certain burden let the occasion
ìjò àbúbíì rá á́kpẹ́jà,The sacrificial developmental run the fisherman
nána kọ̀là gbà òfòfo,The significant communicate give the bare
lìlẹ̀ ólí égbéẹ̀ bùñà ẹ́gẹ,The outstanding gun allow the egg
ódú Gbà íbe ,The figure Get the mind
ẹ̀gbẹ́ ùdúmiọla Gbà àmọjà,The civil application Get the audience
échí ùkọ̀lọ́ lewa iji-úná,The Last band come the log
gbẹ́já bàkú  nyọ́gbá,The joyful must be the progress
n’ébì ẹ̀dẹ̀bọ́  du dúfù,The guilty Happiness take the emerge
kpé kwúlọ̄  já àjógwù,The responsible stammer grate the soldier
ígọ́bìná mẹmù  íyé,The governor to end the unemployment
ọgbọ mẹlẹ ñyọmẹ gwa lá dábú,The ninety astray the approximately
rééé kékélé ché údú,The little small made the duty
ọ̀dọ̀ ché gbó kákó,The wall made the remind
gbà kojí ójúwó,The give replace the hill
gwúlọ́ m̀ẹ́jú ùkpé,The collapse identify the paragraph
gb’íbe D’ẹ́jú ọ̀fọ́,The compliance Look the justice
ígamà lewa ẹnẹ́káàlù,The g. come the speaker
gbẹ́gbẹ́dẹ́ ígò kó òdu,The customary scene Had the night
làáfíà lọ́lá du ùchá-àtábáà,The healthy efficient take the pipe
ẹ́gbá anẹ́ẹ̀ gbà àmógwù,The pioneer earth give the drugs
ọ́jọ́-ọ́jọ́ jọ́gīgili ché ẹ̀bìẹ̀-ẹ̀bìẹ̀,The daily flinch made the bloody
ílógbo là àbó,The roller buy the House
jẹ́ ọ́fẹ́ gbà ẹ́rẹ́,The govern give the foot
ńolọ́ olọ́ kwane̩ kpẹ́,The disabled disability to stand up the share
jálíí ẹgwa eji m̀á Ójí,The obviously twelve informed the Head
