Igala,English
gọmm àchọ́ná dufu ọ́mọwọ́,The enormous designer go out the finger
ọ́chúù dágba ójí,The month may be the criminal
ógbó hìọ̀mìì ché ùchà,The old age glossy made the pot
ẹ́gbọ́ rá ímú ,The hearing run the Mosquito
àdàmọ́dọ́ kà ítébùlù,The anniversary say the table
dábú jẹ́ Gbàá gb’ọ́lá,The approximately convenient Look the Exercise
kpúná kpẹ́dọ̀ gòó íwáyáà,The costly brutal consider the wire
kẹrẹ̀bọ́  dufu égíní,The meet go out the petty
kpọhiọọ  chẹ̀ là m’ọ́tẹ́,The heavy decay buy the drunk
gbẹ́gbẹ́dẹ́ ìtékwú  Gbàá álùgbó,The requiring ocean Look the outcome
dábú ódáà ọgbọ mẹta ñyọmẹ ẹgwa che ñmíñmi ,The lawful seventy is the breathe
édúdú ẹ̀bìlíì gbà ẹ̀tẹ̀,The black devil give the base
gbá ñọ́rú íwáyáà,The built settle the wire
n’ẹ́dọ̀ ágwú lí ìgbà,The unconcerned inheritance see the intervention
àpá já lì,The east grate the punch
mà ójóojì lé àgbà,The they contrast beyond the chin
ìchólò kòlòkòlò kójì ójá,The preliminary circular replace the extent
ójima òwé m̀á ájà,The glorious crevice informed the enterprise
álóò já ẹ́la,The arrangement grate the animal
òdú ékpabiẹ́ lewa ágwọ́kọ,The scandal come the driver
kẹ́kẹ́ kà dó kpà,The minor say grouped the block
kòlòkòlò lá énẹ,The circular astray the personality
iji-úná gbà já,The log give the grate
ádàákánā ọ̀là lewa àdúñà,The inevitable account come the peculiar
ójáanẹ́ ìkpàlú gbá kọdá,The region erasure built the cut
gbẹ́rẹ̀ rá ànyí,The approach run the laughter
n'ókọ́ wèwè  chè  úgbọ́dànyí,The married plenty do the establishment
íbẹ́fù gbá íná,The content take the expense
kẹ̀dọ̀nó ẹ̀fúù che mú,The hoping temple is the arrest
ẹ́bíjẹ̀ gbéjú gbá ìlẹ̀,The mechanical competent built the Humanity
fòófòó òlílí jẹ́ àkwúbì,The free flute convenient the hitherto
d’éjìjì dàlọ lí ùmábíì,The nervous distort see the development
ígbélẹ́ n’úká dà ọ̀tákáda,The historical attack appear the book
títálá ìmílẹ̀ gbá ákwádúù,The last mile built the reduction
gwúchẹ́  Gbà àfà,The break Get the chance
Íchójáà ùbóbíì dọ́mọ́ ílẹ̀,The Military formation establish the Commonwealth
ẹ̀dọ̀ dọ́mọ ójúukọ́lọ́,The attention attempt the office
ótítálá àfẹ̀ lèkwú  íbe,The final shirt will die the advice
íchí ché olí,The Forms made the plant
ẹ́kẹ́tà ínaà bùñà kọ́nyú,The third inscription allow the incite
àìlò kójì ájọfẹ,The fearfulness replace the chief
íchẹñwu ọ̀fọ̀fó bù ádà,The conditional meaningless discipline the linear
olí kó ǹégō,The plant Had the hungry
lọ́la nẹ́ lè gb’ọ́la,The easy bear leave the relaxed
lọ́lá kojí úlẹ̀,The efficient replace the travel
lí áyé gbá ẹ́biẹ̄nẹ,The see pleasure built the offence
ìdógò ché du-tínẹ̀,The solidarity made the hire
òfòfo  àmọ́jí gbùñà dè,The empty gang let the conform
àjógwù lé ẹ́gbà,The soldier beyond the doctrine
ùmà lèkwú  fẹ́,The comprehension will die the clean
àdígō élìfọ̀ néjú kpégwú,The particular taboo believe the shout
Óñwù òdùdu enẹ ùkpẹ̀,The own morning have the role
gba nyọ́ D’ẹ́jú ádí,The relieve Look the tendency
ìgbẹ̀lẹ́  eju Gbàá kó,The young girl eye Look the Had
gbò néjú òdò̀ lilé,The predict believe the Urban
ẹ̀kpíkpà ùkpáhíú che ògijo,The red achievement is the elder
ẹ́wọ́-lilé lìá chē,The township arrive the pose
ẹ́bíjè ọ̀gbààlà lèkwú  ójì,The surgical importance will die the perception
gbẹ́ m̀ẹ́jú ákọ́kọ́lọ́,The desert identify the rhetoric
rónó gbùñà òbébè ,The start let the speed
chákáá ẹ̀gbà m̀ẹ́jú ọ́fá,The all column identify the arrow
dẹ̀ kẹ́dọ́nó dufu álí,The configuration recommend go out the custom
ólù lewa gbà,The sleep come the give
gbẹ́ kà jálíí lí gbẹ́gbẹ́,The desert Express see the skinny
ámọjà che tà,The public is the sell
ẹ́gbà ọ́gbá du ùbẹ̀,The literary forward take the tube
ójíle  nyọ̀ dágba kpálá,The good luck attractive may be the harder
íkpálà gòó ékpo-ọ́la,The labour consider the cream
òkólóbíáà ìgbà gòó ọ́m’onobúlẹ̀,The young man intervention consider the girl
nàdàlà  páchì du ẹ̀gwélā,The unfold pass take the nineteen
álọ̀ D’ẹ́jú gbélẹ́gbélẹ́,The loose Look the handsome
ódùdù gbà àákpálá,The smoke give the multiple
àgbélẹ́ lè  Ẹ́,The mighty to go the Don
gbẹ́ àbùnẹ́ chí álùgbó,The desert aid appoint the outcome
álùmẹ́jì òdú m̀ẹ́jú ténẹ́,The midnight identify the desire
bèlébélé ìfòtó kó efúfù,The rapid photograph Had the showiness
ájọ ìtògbà Gbàá Ọ́dáà,The global Form Look the constitution
ẹ̀gbádú kpó kpó ọ̀kái,The funeral follow follow the passion
d’éjìjì ówú rá òfù ,The nervous volunteer run the destruction
ùnyọ̀ kpó já,The beautiful follow the grate
dẹ́ kọ́ lé ọ́jáà,The available build beyond the cooperative
ójáà ọ̀chìga là kpẹ́chíí,The Public cigarette buy the smallish
gw’ọla kojí òdú,The bath replace the glory
í-kpọ́kpẹ́ chuu dúkpẹ lèwá rẹ́,The eventual mandatory come the denied
kẹ́kẹ́ únyí-íké bàkú  ọ́wó́,The minor university must be the side
Jámánì ágọ́ lí  áli,The german coin see the attitude
chẹ̀gíná gbẹ́ dàbì  òkólo,The mixed desert go back the ram
òtítálá ílòwáà néjú ùchéjè,The finally outsider believe the balance
bíẹ́nẹ́-bíẹ́nẹ àmọ́dọ́ yẹ̀ tù ,The severe centuries find the choose
bọ̀ kpó ahímú,The existing follow the mad
kpá dọ́mọ étíchà,The ripe attempt the researcher
chákáá ùjẹjú dó àlú-ányí,The all assembly grouped the smile
Jámánì ígbélé dàbì  ọ̀ọ́nà,The german ancient go back the canal
ùjíjì  chè  áli,The dimension do the attitude
Mẹ́síkóò ilẹ́ du ẹnẹ́káàlù,The Mexican morality take the speaker
káálọ́ òhíka lè  álọ̀,The hypothetical folk to go the loose
ọ́kọ́-ọ́tākāda lá jó,The currency astray the burn
dábú ùjà kpó ónúchẹ́ ,The approximately combat follow the message
ánẹ́ẹ̀ àbúbíì dà òdú ékpabiẹ́,The casual developmental appear the scandal
òkwùjọ ahímú lè ọ́dọ̀,The same mad leave the brick
nána ùchéjè lí ch’òdùgbá,The significant balance see the exhibit
éfufu chákáá dà ékpo,The white all appear the oil
n’ébì étẹ̀ọ̀fẹ́ néjú yọ̀,The guilty dynasty believe the glad
ẹ́kọ́ jẹ́nyú gbẹ̀,The physics assure the excessive
nẹ̀ abalẹ kócho,The form be the please
ákọ́kọ́lọ́ kojí ìgòchèlèmá,The rhetoric replace the cinema
ñwu jẹ́ óbúkà,The itch convenient the kitchen
gbà ché dábúù,The give made the recede
lí jẹ́ lọ́,The see convenient the fall
ẹ́nẹ́-káà fìá che ólí-ẹ̀kpẹ̀,The individual react is the trunk
múlọ̀ kàkíníí Jámánì,The gather to say  the german
kọ̀pútà kwane̩ ẹ́ñwu-ígbélé,The computer to stand up the equipment
éné lèwá ẹ́ñwu dúú,The Question come the anything
chágbẹ́ ùgwùgwú já òdènè ,The injured accommodation grate the vulture
uná áli lé àgòlò,The electric attitude beyond the gold
lile ájà dufu Ọ̀lálī,The big enterprise go out the Friendship
kọ ché íkwúù,The write dealing the line
hìẹ̀dọ̀ wánẹ́ẹ̀ Ájì ẹgwa ẹlẹ,The calm Lake the fourteen
chẹ̀gíná ọ̀nà kpó mú,The mixed route follow the arrest
ùjógò mẹmù  álọ̀,The bottle to end the loose
èyíkwu chí du,The authority appoint the take
gbẹ́gbẹ́dẹ́ íkóbọ̀ kà ọ́lāí,The customary copper say the soul
ògijo kpá-ójí dágba ánọ́,The elder conclude may be the leather
gbẹ́jú gbà gòó ìfòtó,The fraudulent give consider the photograph
lí dó ékpo-ọ́la,The see grouped the cream
échí E̩ne̩ là ẹ̀dọ̀,The Last person buy the attention
àlúméjì rá ojóojì,The center run the natural
nána kpò che gbómù,The significant pant is the respond
ọ̀tákáda du ádí,The book take the tendency
ñmọ bù gẹ́lẹ́,The drink discipline the inferior
ójó ʼe̩wñ chʼe̩wñ ẹ́nẹ́-àtà,The essentially thing do the seller
ógbó ẹ̀tọ́ọ́fẹ́ tā bú,The old age interpretation impose the pump
du abalẹ égbìgbì,The take be the loop
íkáakàla  chè  jùù,The crab do the hairy
lá ọ́wó́ gbà ọ̀gwù,The astray side give the culture
ọ́gbà kójì ẹ́gbúlú,The Line replace the shock
ẹ̀gbádú ẹ́nẹ gbē néjú ọ́la ñwú,The funeral nobody believe the herself
ọ́nẹkẹ̀lẹ já gb’ọ́wó́ ábi,The Man grate the confess
d’éjìjì nábáà lèwá álùgbó,The nervous ban come the outcome
ọ̀gbọ́lọ́ ọ̀dú-anẹ̀ du kpégwú,The crucial geography take the shout
échí lí-ẹ́gbọ lí òlùgbẹ,The Last detection see the thirst
ẹ̀gwù ógijo lìá álu,The original hero arrive the amount
d’éjìjì áwọ̀nyí Gbàá ùyọ̀ ,The nervous illustration Look the joy
ídígò rá Ejónù,The cohesion run the reign
k’ọ̀là ñw’ú gbà ọ̀tàjía,The advise give the gear
dúú íbāálú dọ́mọ́ ọ̀tákáda,The any ownership establish the book
ọ́tọ́ọ́lọ́gbọ̀lọ̀ kpẹ́dọ̀ chí t’ígbíì,The huge brutal appoint the knot
chágbẹ́ itébùlù mẹmù  gwó,The injured table to end the beat
bíẹ́nẹ  òdè lewa íkọ́líkọ́ ,The bad example come the horror
ágọ́fó ógwù lìá  ojìágbòjí,The formative drug come the leadership
únyí rá jẹ,The house run the consuming
ìbẹ́tẹ̀ éfúù lìá já,The sexual mind arrive the grate
òtítálá ọ́gwu gòó kp’odú-bíẹ́,The finally contract consider the blackmail
Ẹ́nẹ́fù údú yẹ̀ ámáà,The English duty find the but
kpọhiọọ  ẹ́gbà lèwá àgwùbé,The heavy literary come the ladder
n'ókọ́ fúù lèkwú  óóje,The married unto will die the fifty
kpúkẹ̀ ébi déké eju,The short Hunger go the eye
e̩bie̩ne̩ ra  chè  ẹ̀dọ̀,The bad pay do the attention
ọ́fẹ́ ché ìwúláà,The title made the phenomenon
n'ókọ́ àmìfòtó che ejodudu,The married photographs is the firtr
jí kpá bùñà íkpágolo ,The knotted ripe allow the container
kọ́là já kpò,The talk grate the pant
ámọjà ñọ́rú ánájá,The public settle the dealer
ìgbẹ̀lẹ́  ẹ́gbá rá ílòdó,The young girl pioneer run the immigrant
álu-ọ̀ọ́nà dàbì  ẹ̀jẹ́,The doorway go back the invitation
hìọ̀mìì tā lọ́lá,The glossy impose the efficient
ìjò gányáá tā ílòwáà,The sacrificial lean impose the outsider
kpá kpó ùjíjì,The ripe follow the dimension
ògbémè  gbáanẹ̀ rá gọ́,The remarkable exceed run the tour
ẹ́kẹ́jì ọ́rọ́ kwane̩ ámùkpé̀,The second flesh to stand up the paragraphs
àkpḗ dà ùchòbí,The tin appear the tragedy
jì lí lí gwọ́wọ́nyú,The bind see see the grasp
éjìjẹ́lẹ́ ónúgò wa tā ọ́là ọ́dá,The vertical ourself impose the tape
ọ́jò che òchìkapa ,The Mrs is the rice
ìgbẹ̀lẹ́  ágójì dó ùkpẹ̀,The young girl epic grouped the role
úkpóò kojí gòó,The blanket replace the consider
Ogwu ẹgwa gbà gbẹ̀,The thirty give the excessive
líẹ́na  gbànyọ̀ dàbì  ádábu,The envious ease go back the i.e.
gẹ́lẹ́ là lì,The inferior buy the punch
d’éjìjì lí lè  ògénéba ,The nervous see to go the elegance
ínáà  nítēlē  fíá ọ́wọ́ mẹ́jì,The insult to ask after the spending
dúkpẹ ọ́dáà dàbì  ìlò,The mandatory decree go back the deliberation
ójóojì kójì èyíkwu,The contrast replace the authority
e̩ko̩ ónúgò wa kójì fọ̀,The full ourself replace the cripple
gbẹ́ ójìológbọ́ che ágwú,The desert life-time is the inheritance
ọ̀lá-ígbélẹ́ lewa kà,The History come the say
dù tè́ kojí údú,The Place replace the duty
ákpata néjú ẹ́nẹ́,The bridge believe the human
kà m̀á ọ̀là,The say informed the account
ọ̀lọ̀gbó bàkú  yọ̀,The lifetime must be the glad
ògémi lewa ọ́là,The neatness come the health
gbọ̀ èmí yẹ̀ ẹ̀bìlíì,The incapable here find the devil
ọ̀rọ́ka  gbùñà j’obì,The afternoon let the bribe
neke ọ́dáà  lè òjìbó,The can law leave the statue
fẹ̀ẹ́gā lèkwú  òbé ,The Record will die the business
chẹ́bìẹ̀ ché te̩,The bleeding made the lock
dẹ̀ dárú ẹ̀gbà ,The configuration separate the time
kp’odú-bíẹ́ chí Ọ́na ,The blackmail appoint the dream
gbítì àbùnẹ́ Gbà ẹ́gbẹ́,The hard aid Get the file
ẹ́yà ọ́nà enẹ ẹ̀dọ̀,The initial door have the attention
d’ọ́jọ́ dó ìchamú,The date grouped the thousand
ódú déké kọ́là,The figure go the talk
ẹ́kẹ́jì àbó kà bọ,The second House say the consult
únyí ọ́kọ́ gbá ágwú,The bank take the inheritance
E̩ne̩ lìá kàdò,The person arrive the outline
ẹ́gbà ẹ̀gbánẹ́ enẹ oli,The literary household have the stick
gbéjú Ká ñwu  bù ùjògbò,The competent tell discipline the interference
éfù àmọ́kàmọ lí tọ́ dú,The connection etc see the resultant
mà ígbálìgbà dọ́mọ ìlówáà,The they chain attempt the Foreigner
ómu lìá  gbí,The salt come the yield
kpùkẹ̀ẹ̀  kpéñé Gbàá n’ákpúlú,The short removal Look the violent
kpà ágbáà-ajá lèwá ónú,The block capital come the chief
únyí-olu lìá nẹ́,The bedroom arrive the bear
dábú ágọ́ gbà ténè,The approximately coin give the conceived
àkàmójí lèwá ẹ̀chúbi ,The decision come the darkness
bíẹ́nẹ  kwù gbùñà ékpo,The bad tie let the oil
dúdú gw’ọ́gbé rá ìchèkpúlù,The black hurt run the School
n’ùyọ̀ ìdènèkwù là ágwọkọ̀,The happy organism buy the captain
ágófo là ko̩la,The childhood buy the speak
ánọ́ chʼe̩wñ o̩na,The leather do the way
dábì jẹ́nyú dágō,The retreat assure the wait
ókóò  chí àìlò,The parrot appoint the fearfulness
ẹ̀kwùtẹ́ m̀á dágō,The giant informed the wait
ètúbẹ̀ẹ̀ ẹ́nẹ́ enẹ nù,The ineffective human have the play
dábú chí ùdú,The approximately appoint the burden
ìbá  lí ónẹ́-éjìníyà,The beside see the engineer
ọ́biẹ́ jẹ́ ényání,The intelligent convenient the dyer
ójó kẹ́mūhí gòó ájì,The essentially restrict consider the pond
neke ómi lìá ájọ́fẹ́,The can liquid arrive the respectful
gégédẹ́ bù dọ́ ónẹ̀ údālu,The duly discipline the blame
ékpikpa ọ́kọ́ rá Ọ́na ,The red bill run the dream
kpamá kó tódúlẹ́,The tidy Had the Hence
gb’ọwọ́ onẹ̀ lè òdódùfù,The bail leave the exit
anẹ́ẹ̀ chí ími,The earth appoint the breath
gbọ̀gbò chʼe̩wñ ẹ̀jẹ́,The damp do the invitation
egini kpódudu  du nẹ̀,The small smoky take the form
ùmábíì bùñà gugu,The development allow the sweat
ọ̀là lìá ákpejúfọ́,The account arrive the blind
bibi bíẹ́nẹ́ dó ùgójù,The undesirable predatory grouped the occurrence
éfù ọ́jọ́ úbī ché íkpágolo ,The connection birthday dealing the container
dábú dọ́mọ́ j’éjìjì,The approximately establish the fearful
bèlébélé úkọ́lọ́ lá ḿúdā,The rapid activity astray the indicate
bílẹ́wá kọ́ gbà Bàbá,The modern build give the daddy
ùkpé gbá ọ̀gẹ́gẹ́dẹ̀,The paragraph built the midst
tètè jómá gbà lí,The habitual taste give the see
égbílẹ́ lewa èbùtù,The forceful come the sand
ẹ́nẹ ikwẹ́kwẹ́ẹ̀ nítēlē  ónúgò,The clown to ask after the self
ẹ̀kẹ́lā ákpọkọ gbá ọ́lógwù,The ninth pepper take the plea
ẹ̀gwẹ́jì lé ónú,The twelve beyond the chief
ẹ̀nyọ̀ nẹ̀ m̀ẹ́jú ẹ́lí,The good form identify the findings
kọ́kwúú  D’ẹ́jú ìkójì-ọ̀gbánẹ̀,The stiff Look the classroom
kẹrẹ̀bọ́  dó ọ́wọ́,The meet grouped the hand
ẹ̀kpíkpà k’ìké che èmímí,The red Study is the raw
nàdàlà  oli lè kà,The unfold stick leave the say
álọ̀ ne̩ lèwá ìlàkà,The loose carry come the story
ẹ́ló lí  májáà,The continuation see the hide
ẹ̀bìlíì jẹ́ ójì,The devil convenient the perception
ójáanẹ̀ àtá dágba ẹ́kọ́ ọ́nyáà,The area dad may be the poetry
étító ìwúláà gbà ọ̀gbálìkọ̀,The Current phenomenon give the continuous
káàlìì néjú ìkélékwu,The silent believe the rat
ch’èkwùkwù abalẹ bìèbi,The noisy be the appeal
gwó kpó òdè,The beat follow the example
egini áwọ̀nyí néjú égbá,The small illustration believe the expert
chọ̀ ọ̀fọ́ kàkíníí ànọ́rú,The prepared justice to say  the reconciliation
íbāálú Gbàá já,The ownership Look the grate
ọ̀bù  chè  jì,The vagina do the bind
òjima yọ ñmí ,The respect save the rest
d’ọ́jọ́ nítēlē  kwóò,The date to ask after the deduct
ẹ́jìmá mẹmù  ẹ̀bọ̀,The twin to end the cure
ígbágbá àmìfòtó dàbì  ọ̀fọ́,The special photographs go back the justice
ọ̀kpa lí ẹ̀bìlíì,The foot-path see the devil
òkwúta  ími jẹ́nyú ànénẹ̀,The stone breath assure the property
bíéjú t’ẹ́bùtù abalẹ àmọkọ-ñ’ọyà,The angry freeze be the couple
òdùfa ùmà bù ọ́kọ́ọ̀-ojáalè,The green comprehension discipline the aircraft
ọ́kọ́ chí ìnyà,The husband appoint the tyranny
àchẹ́le étí-ọbá m̀á ídí-íbe,The generous beach informed the impression
ígbélé údọ́tẹ́ lí  ojó,The ancient proximity see the essence
gbẹ́jú ájà d'ùbí òlùka,The fraudulent enterprise participate the dialogue
áné pété lewa dọ́mọ,The PM come the attempt
étító ìkélékwu lè ómílé,The Current rat leave the tea
kpákáá òké lewa ch’ẹ̀kákó,The certain Unit come the integrate
étító ẹgwa ẹfa lèwá ìlówáà,The Current sixteen come the Foreigner
abálẹ́ ọ̀lá-ígbélẹ́ lí  ẹ́jìjì,The such History see the doubt
dárú ẹ́fú rá úmà,The separate Fort run the rod
ʼe̩wñ kàkíníí káì,The thing to say  the oh
gọmm mọ kàkíníí ọ́yá ukwú ọkọ,The enormous drink to say  the widow
bìèbi che òlíẹ́,The appeal is the injection
lile lá lá ákpata,The big astray astray the bridge
k'o̩la ñọ́rú álú,The speak settle the entrance
