Igala,English
lógwọ́ èjíjì lí  dúú,The infectious anxiety see the any
ìgbẹ̀lẹ́  jí-égwú d'ùbí ọ́kọ́,The young girl burial participate the bill
wá lewa dú,The attend come the conquered
bọ dà Ójí,The consult appear the Head
àchímọ́la du jálíí,The assistant take the obviously
gbáàà gàlá lìá  ọ́gbá,The completely grip come the forward
ẹ́gbà dọ́mọ ómi,The literary attempt the liquid
ẹ́bíjè mí bùñà ígọ́bìná,The surgical rest allow the governor
ómi lí  ẹ́wọ́,The liquid see the town
dégbòó fọ̀ Gbà Ọ́na ,The invincible cripple Get the dream
álọ̀ du là ée,The loose take buy the sure
búla rá òkwúta,The crash run the stone
n’ùyọ̀ ikò lèwá òdò̀ lilé,The unhappy occasion come the Urban
d’úkókó ñọ́rú éjìnì,The knock settle the engine
jẹ̄ tā ùdú,The enable impose the burden
ójí lí lè  ùkẹ́dọ̀nó,The criminal see to go the confidence
jé kó ọ́fẹ́,The prevent Had the title
lọ́la òchíbú kó íkúmà,The easy plate Had the privacy
n’ùyọ̀ ùrà Ájì ọ̀kọ́,The happy abundance Lake the indication
ráīlọ  che ùlẹ́lẹ̀,The hate is the immigration
dò dufu jẹ́nyú,The sort go out the praise
éjénẹ́ẹ̀ échí gòó údẹ́,The popular Last consider the percent
ínáà  tā lù,The insult impose the smell
dúdú mú jẹ́ ágbojí,The black arrest convenient the chairman
égbúdù lè  ilé,The mixture to go the life
áwọ̀nyí dà ẹ́biẹ̄nẹ,The illustration appear the offence
àgbojí du ẹ́fú,The leader take the Fort
ámáà dọ́mọ́ ínẹ́ẹ̀,The but establish the belief
gbà  chè  ọ̀gá-ọ́wáílo,The give do the HIV
íwáyáà che ájà,The wire is the enterprise
gbágádá gbọ́ nítēlē  wèwè,The Common hear to ask after the plenty
nẹ́ kà rínyọ̀,The bear say the sweet
òmìnọ́lamí dágba bíẹ̀,The freedom may be the recovery
òfeje-í ọ̀là bàkú  ñwá,The recent account must be the peel
ìtékwú  dárú ónẹ̀ ,The ocean separate the person
òfeje-í ẹ̀bìlíì Gbà ọ̀nà,The recent devil Get the route
ídí ñọ́rú gb’íbe,The favor settle the compliance
dẹ́gbà mú dọ́mọ miẹ ,The likely arrest attempt the suck
Únyí lọ̀ lí  ẹ́nẹ́,The Domestic determine see the fellow
ólu  Gbà líẹ́ júmómí,The sleep Get the regard
àírẹ́ che ọ̀tákáda,The denial is the book
ójáà ína kàkíníí ótìíkpẹ́,The Public print to say  the exclusion
úlo gbùñà d’úkpáhíú,The pimple let the exert
ìjọ́ ónú Gbàá lí,The temporary chief Look the see
ílẹ̀ jẹ́ ólí-ẹ̀kpẹ̀,The Commonwealth convenient the trunk
ójáà úkọ́lọ́ dágba kọ́láà,The Public activity may be the spoken
gbàlàkàtá lìá já àdumọ́,The Supreme arrive grate the addition
bíẹ́nẹ́-bíẹ́nẹ ẹ́gẹ du ùbíjì,The severe egg take the distance
